
Opening Error Output File (MD2ERROR.TXT) on Thu Jan 09 16:46:56.330, 2003


columns = 40, rows = 40
col_vstep = 102.564102, row_vstep = 102.564102
col_tstep=6.538462, row_tstep=6.538462
num_vertices = 1600, num_polys = 3042
Vertex 157: V[1794.871826, 0.000000, -1692.307739], T[241.923080, 19.615385]
Vertex 158: V[1897.435913, 0.000000, -1692.307739], T[248.461548, 19.615385]
Vertex 159: V[2000.000000, 0.000000, -1692.307739], T[255.000000, 19.615385]
Vertex 160: V[-2000.000000, 10.980392, -1589.743652], T[0.000000, 26.153847]
Vertex 161: V[-1897.435913, 21.960785, -1589.743652], T[6.538462, 26.153847]
Vertex 162: V[-1794.871826, 35.686275, -1589.743652], T[13.076923, 26.153847]
Vertex 163: V[-1692.307739, 38.431374, -1589.743652], T[19.615385, 26.153847]
Vertex 164: V[-1589.743652, 35.686275, -1589.743652], T[26.153847, 26.153847]
Vertex 165: V[-1487.179443, 38.431374, -1589.743652], T[32.692307, 26.153847]
Vertex 166: V[-1384.615356, 38.431374, -1589.743652], T[39.230770, 26.153847]
Vertex 167: V[-1282.051270, 32.941177, -1589.743652], T[45.769234, 26.153847]
Vertex 168: V[-1179.487183, 19.215687, -1589.743652], T[52.307693, 26.153847]
Vertex 169: V[-1076.923096, 13.725491, -1589.743652], T[58.846153, 26.153847]
Vertex 170: V[-974.359009, 24.705883, -1589.743652], T[65.384613, 26.153847]
Vertex 171: V[-871.794861, 52.156864, -1589.743652], T[71.923080, 26.153847]
Vertex 172: V[-769.230774, 71.372551, -1589.743652], T[78.461540, 26.153847]
Vertex 173: V[-666.666687, 65.882355, -1589.743652], T[85.000000, 26.153847]
Vertex 174: V[-564.102539, 41.176472, -1589.743652], T[91.538467, 26.153847]
Vertex 175: V[-461.538452, 13.725491, -1589.743652], T[98.076927, 26.153847]
Vertex 176: V[-358.974365, 0.000000, -1589.743652], T[104.615387, 26.153847]
Vertex 177: V[-256.410278, 0.000000, -1589.743652], T[111.153847, 26.153847]
Vertex 178: V[-153.846161, 10.980392, -1589.743652], T[117.692307, 26.153847]
Vertex 179: V[-51.282059, 38.431374, -1589.743652], T[124.230774, 26.153847]
Vertex 180: V[51.282043, 85.098045, -1589.743652], T[130.769226, 26.153847]
Vertex 181: V[153.846146, 126.274521, -1589.743652], T[137.307693, 26.153847]
Vertex 182: V[256.410248, 131.764709, -1589.743652], T[143.846161, 26.153847]
Vertex 183: V[358.974365, 96.078438, -1589.743652], T[150.384613, 26.153847]
Vertex 184: V[461.538452, 43.921570, -1589.743652], T[156.923080, 26.153847]
Vertex 185: V[564.102539, 10.980392, -1589.743652], T[163.461548, 26.153847]
Vertex 186: V[666.666626, 0.000000, -1589.743652], T[170.000000, 26.153847]
Vertex 187: V[769.230774, 5.490196, -1589.743652], T[176.538467, 26.153847]
Vertex 188: V[871.794861, 24.705883, -1589.743652], T[183.076935, 26.153847]
